Model,Attribution Method,Layer,Metric,Upscale Method,Value
VGG11,_GradCAMPlusPlus,features.0,sensitivity,SimpleUpsampling,2.4981298
VGG11,_GradCAMPlusPlus,features.0,infidelity,SimpleUpsampling,0.02112839
VGG11,_GradCAMPlusPlus,features.0,road_combined,SimpleUpsampling,0.03664981
VGG11,_GradCAMPlusPlus,features.1,sensitivity,SimpleUpsampling,0.032887854
VGG11,_GradCAMPlusPlus,features.1,infidelity,SimpleUpsampling,0.026779208
VGG11,_GradCAMPlusPlus,features.1,road_combined,SimpleUpsampling,0.110304974
VGG11,_GradCAMPlusPlus,features.2,sensitivity,SimpleUpsampling,0.033109643
VGG11,_GradCAMPlusPlus,features.2,infidelity,SimpleUpsampling,0.03743834
VGG11,_GradCAMPlusPlus,features.2,road_combined,SimpleUpsampling,0.11632858
VGG11,_GradCAMPlusPlus,features.3,sensitivity,SimpleUpsampling,2.114678
VGG11,_GradCAMPlusPlus,features.3,infidelity,SimpleUpsampling,0.025432453
VGG11,_GradCAMPlusPlus,features.3,road_combined,SimpleUpsampling,0.045891814
VGG11,_GradCAMPlusPlus,features.4,sensitivity,SimpleUpsampling,0.0368400290608406
VGG11,_GradCAMPlusPlus,features.4,infidelity,SimpleUpsampling,0.1110983192920684
VGG11,_GradCAMPlusPlus,features.4,road_combined,SimpleUpsampling,0.1313835680484771
VGG11,_GradCAMPlusPlus,features.5,sensitivity,SimpleUpsampling,0.0286300964653491
VGG11,_GradCAMPlusPlus,features.5,infidelity,SimpleUpsampling,0.1112333834171295
VGG11,_GradCAMPlusPlus,features.5,road_combined,SimpleUpsampling,0.1155315563082695
VGG11,_GradCAMPlusPlus,features.6,sensitivity,SimpleUpsampling,2.2935609817504883
VGG11,_GradCAMPlusPlus,features.6,infidelity,SimpleUpsampling,0.039252184331417
VGG11,_GradCAMPlusPlus,features.6,road_combined,SimpleUpsampling,0.017820443958044
VGG11,_GradCAMPlusPlus,features.7,sensitivity,SimpleUpsampling,0.0398985967040061
VGG11,_GradCAMPlusPlus,features.7,infidelity,SimpleUpsampling,0.1603857576847076
VGG11,_GradCAMPlusPlus,features.7,road_combined,SimpleUpsampling,0.1176923662424087
VGG11,_GradCAMPlusPlus,features.8,sensitivity,SimpleUpsampling,2.117706775665283
VGG11,_GradCAMPlusPlus,features.8,infidelity,SimpleUpsampling,0.062469370663166
VGG11,_GradCAMPlusPlus,features.8,road_combined,SimpleUpsampling,0.0502972193062305
VGG11,_GradCAMPlusPlus,features.9,sensitivity,SimpleUpsampling,0.0528831854462623
VGG11,_GradCAMPlusPlus,features.9,infidelity,SimpleUpsampling,0.117402046918869
VGG11,_GradCAMPlusPlus,features.9,road_combined,SimpleUpsampling,0.1163969337940216
VGG11,_GradCAMPlusPlus,features.10,sensitivity,SimpleUpsampling,0.0391222797334194
VGG11,_GradCAMPlusPlus,features.10,infidelity,SimpleUpsampling,0.1621310114860534
VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,0.1113990619778633
VGG11,_GradCAMPlusPlus,features.11,sensitivity,SimpleUpsampling,3.3583993911743164
VGG11,_GradCAMPlusPlus,features.11,infidelity,SimpleUpsampling,0.0398512110114097
VGG11,_GradCAMPlusPlus,features.11,road_combined,SimpleUpsampling,0.0463189072906971
VGG11,_GradCAMPlusPlus,features.12,sensitivity,SimpleUpsampling,0.0485663190484046
VGG11,_GradCAMPlusPlus,features.12,infidelity,SimpleUpsampling,0.1696779727935791
VGG11,_GradCAMPlusPlus,features.12,road_combined,SimpleUpsampling,0.1003946587443351
VGG11,_GradCAMPlusPlus,features.13,sensitivity,SimpleUpsampling,2.0893425941467285
VGG11,_GradCAMPlusPlus,features.13,infidelity,SimpleUpsampling,0.1242223232984542
VGG11,_GradCAMPlusPlus,features.13,road_combined,SimpleUpsampling,0.0486802272498607
VGG11,_GradCAMPlusPlus,features.14,sensitivity,SimpleUpsampling,0.0609313882887363
VGG11,_GradCAMPlusPlus,features.14,infidelity,SimpleUpsampling,0.0863431319594383
VGG11,_GradCAMPlusPlus,features.14,road_combined,SimpleUpsampling,0.1371359080076217
VGG11,_GradCAMPlusPlus,features.15,sensitivity,SimpleUpsampling,0.0517750456929206
VGG11,_GradCAMPlusPlus,features.15,infidelity,SimpleUpsampling,0.1708435416221618
VGG11,_GradCAMPlusPlus,features.15,road_combined,SimpleUpsampling,0.1303455978631973
VGG11,_GradCAMPlusPlus,features.16,sensitivity,SimpleUpsampling,3.2929999828338623
VGG11,_GradCAMPlusPlus,features.16,infidelity,SimpleUpsampling,0.0525071546435356
VGG11,_GradCAMPlusPlus,features.16,road_combined,SimpleUpsampling,0.0760041326284408
VGG11,_GradCAMPlusPlus,features.17,sensitivity,SimpleUpsampling,0.0577163398265838
VGG11,_GradCAMPlusPlus,features.17,infidelity,SimpleUpsampling,0.1668411046266555
VGG11,_GradCAMPlusPlus,features.17,road_combined,SimpleUpsampling,0.1378256231546402
VGG11,_GradCAMPlusPlus,features.18,sensitivity,SimpleUpsampling,2.5815224647521973
VGG11,_GradCAMPlusPlus,features.18,infidelity,SimpleUpsampling,0.1186187639832496
VGG11,_GradCAMPlusPlus,features.18,road_combined,SimpleUpsampling,0.0461448580026626
VGG11,_GradCAMPlusPlus,features.19,sensitivity,SimpleUpsampling,0.0926867574453353
VGG11,_GradCAMPlusPlus,features.19,infidelity,SimpleUpsampling,0.1466127336025238
VGG11,_GradCAMPlusPlus,features.19,road_combined,SimpleUpsampling,0.1574650704860687
VGG11,_GradCAMPlusPlus,features.20,sensitivity,SimpleUpsampling,0.0866865962743759
VGG11,_GradCAMPlusPlus,features.20,infidelity,SimpleUpsampling,0.257365882396698
VGG11,_GradCAMPlusPlus,features.20,road_combined,SimpleUpsampling,0.1662603616714477
VGG11,_DeepLiftShap,features.0,sensitivity,SimpleUpsampling,0.1694093942642212
VGG11,_DeepLiftShap,features.0,infidelity,SimpleUpsampling,0.1932092308998108
VGG11,_DeepLiftShap,features.0,road_combined,SimpleUpsampling,0.208709254860878
VGG11,_DeepLiftShap,features.1,sensitivity,SimpleUpsampling,0.1352854073047638
VGG11,_DeepLiftShap,features.1,infidelity,SimpleUpsampling,0.1995916217565536
VGG11,_DeepLiftShap,features.1,road_combined,SimpleUpsampling,0.1843140423297882
VGG11,_DeepLiftShap,features.2,sensitivity,SimpleUpsampling,0.1186147257685661
VGG11,_DeepLiftShap,features.2,infidelity,SimpleUpsampling,0.1803455352783203
VGG11,_DeepLiftShap,features.2,road_combined,SimpleUpsampling,0.3326567411422729
VGG11,_DeepLiftShap,features.3,sensitivity,SimpleUpsampling,0.1289470493793487
VGG11,_DeepLiftShap,features.3,infidelity,SimpleUpsampling,0.1520935893058776
VGG11,_DeepLiftShap,features.3,road_combined,SimpleUpsampling,0.3313330411911011
VGG11,_DeepLiftShap,features.4,sensitivity,SimpleUpsampling,0.1091539710760116
VGG11,_DeepLiftShap,features.4,infidelity,SimpleUpsampling,0.1873045563697815
VGG11,_DeepLiftShap,features.4,road_combined,SimpleUpsampling,0.3060826659202575
VGG11,_DeepLiftShap,features.5,sensitivity,SimpleUpsampling,0.0874074772000312
VGG11,_DeepLiftShap,features.5,infidelity,SimpleUpsampling,0.1528548896312713
VGG11,_DeepLiftShap,features.5,road_combined,SimpleUpsampling,0.327822595834732
VGG11,_DeepLiftShap,features.6,sensitivity,SimpleUpsampling,0.0839781388640403
VGG11,_DeepLiftShap,features.6,infidelity,SimpleUpsampling,0.1618686914443969
VGG11,_DeepLiftShap,features.6,road_combined,SimpleUpsampling,0.3089222609996795
VGG11,_DeepLiftShap,features.7,sensitivity,SimpleUpsampling,0.0847067534923553
VGG11,_DeepLiftShap,features.7,infidelity,SimpleUpsampling,0.1746614575386047
VGG11,_DeepLiftShap,features.7,road_combined,SimpleUpsampling,0.3089410662651062
VGG11,_DeepLiftShap,features.8,sensitivity,SimpleUpsampling,0.0948211401700973
VGG11,_DeepLiftShap,features.8,infidelity,SimpleUpsampling,0.1865018904209137
VGG11,_DeepLiftShap,features.8,road_combined,SimpleUpsampling,0.29405477643013
VGG11,_DeepLiftShap,features.9,sensitivity,SimpleUpsampling,0.09003439545631409
VGG11,_DeepLiftShap,features.9,infidelity,SimpleUpsampling,0.17963556945323944
VGG11,_DeepLiftShap,features.9,road_combined,SimpleUpsampling,0.27326104044914246
VGG11,_DeepLiftShap,features.10,sensitivity,SimpleUpsampling,0.07396616786718369
VGG11,_DeepLiftShap,features.10,infidelity,SimpleUpsampling,0.18279218673706055
VGG11,_DeepLiftShap,features.10,road_combined,SimpleUpsampling,0.2938312888145447
VGG11,_DeepLiftShap,features.11,sensitivity,SimpleUpsampling,0.08016816526651382
VGG11,_DeepLiftShap,features.11,infidelity,SimpleUpsampling,0.17484191060066223
VGG11,_DeepLiftShap,features.11,road_combined,SimpleUpsampling,0.2738633453845978
VGG11,_DeepLiftShap,features.12,sensitivity,SimpleUpsampling,0.07646727561950684
VGG11,_DeepLiftShap,features.12,infidelity,SimpleUpsampling,0.164413183927536
VGG11,_DeepLiftShap,features.12,road_combined,SimpleUpsampling,0.2736780345439911
VGG11,_DeepLiftShap,features.13,sensitivity,SimpleUpsampling,0.09165357053279877
VGG11,_DeepLiftShap,features.13,infidelity,SimpleUpsampling,0.17080426216125488
VGG11,_DeepLiftShap,features.13,road_combined,SimpleUpsampling,0.2439277619123459
VGG11,_DeepLiftShap,features.14,sensitivity,SimpleUpsampling,0.08067036420106888
VGG11,_DeepLiftShap,features.14,infidelity,SimpleUpsampling,0.17351365089416504
VGG11,_DeepLiftShap,features.14,road_combined,SimpleUpsampling,0.23450268805027008
VGG11,_DeepLiftShap,features.15,sensitivity,SimpleUpsampling,0.05961897596716881
VGG11,_DeepLiftShap,features.15,infidelity,SimpleUpsampling,0.20345936715602875
VGG11,_DeepLiftShap,features.15,road_combined,SimpleUpsampling,0.2610991299152374
VGG11,_DeepLiftShap,features.16,sensitivity,SimpleUpsampling,0.06916558742523193
VGG11,_DeepLiftShap,features.16,infidelity,SimpleUpsampling,0.20796018838882446
VGG11,_DeepLiftShap,features.16,road_combined,SimpleUpsampling,0.2283913940191269
VGG11,_DeepLiftShap,features.17,sensitivity,SimpleUpsampling,0.07041139900684357
VGG11,_DeepLiftShap,features.17,infidelity,SimpleUpsampling,0.21574385464191437
VGG11,_DeepLiftShap,features.17,road_combined,SimpleUpsampling,0.22852544486522675
VGG11,_DeepLiftShap,features.18,sensitivity,SimpleUpsampling,0.09939441084861755
VGG11,_DeepLiftShap,features.18,infidelity,SimpleUpsampling,0.20155194401741028
VGG11,_DeepLiftShap,features.18,road_combined,SimpleUpsampling,0.1986820101737976
VGG11,_DeepLiftShap,features.19,sensitivity,SimpleUpsampling,0.09493685513734818
VGG11,_DeepLiftShap,features.19,infidelity,SimpleUpsampling,0.21260443329811096
VGG11,_DeepLiftShap,features.19,road_combined,SimpleUpsampling,0.19832932949066162
VGG11,_DeepLiftShap,features.20,sensitivity,SimpleUpsampling,0.042392682284116745
VGG11,_DeepLiftShap,features.20,infidelity,SimpleUpsampling,0.27858901023864746
VGG11,_DeepLiftShap,features.20,road_combined,SimpleUpsampling,0.22914578020572662
