Image Index,Model,Attribution Method,Layer,Metric,Upscale Method,Value
-1,VGG11,_GradCAMPlusPlus,features.10,road_combined,SimpleUpsampling,0.111417145
-1,VGG11,_GradCAMPlusPlus,features.10,road_combined,ERFUpsamplingFast,0.09156848
-1,VGG11,_DeepLiftShap,features.10,road_combined,SimpleUpsampling,0.29390755
-1,VGG11,_DeepLiftShap,features.10,road_combined,ERFUpsamplingFast,0.21386927
-1,VGG11,_GradCAMPlusPlus,features.11,road_combined,SimpleUpsampling,0.04590117
-1,VGG11,_GradCAMPlusPlus,features.11,road_combined,ERFUpsamplingFast,0.05343746
-1,VGG11,_DeepLiftShap,features.11,road_combined,SimpleUpsampling,0.27367768
-1,VGG11,_DeepLiftShap,features.11,road_combined,ERFUpsamplingFast,0.20672196
-1,VGG11,_GradCAMPlusPlus,features.12,road_combined,SimpleUpsampling,0.10017793
-1,VGG11,_GradCAMPlusPlus,features.12,road_combined,ERFUpsamplingFast,0.081317246
-1,VGG11,_DeepLiftShap,features.12,road_combined,SimpleUpsampling,0.2738648
-1,VGG11,_DeepLiftShap,features.12,road_combined,ERFUpsamplingFast,0.1623384
-1,VGG11,_GradCAMPlusPlus,features.13,road_combined,SimpleUpsampling,0.04857207
-1,VGG11,_GradCAMPlusPlus,features.13,road_combined,ERFUpsamplingFast,-0.0042500356
-1,VGG11,_DeepLiftShap,features.13,road_combined,SimpleUpsampling,0.24387684
-1,VGG11,_DeepLiftShap,features.13,road_combined,ERFUpsamplingFast,0.078891456
-1,VGG11,_GradCAMPlusPlus,features.14,road_combined,SimpleUpsampling,0.1371822
-1,VGG11,_GradCAMPlusPlus,features.14,road_combined,ERFUpsamplingFast,0.110017344
-1,VGG11,_DeepLiftShap,features.14,road_combined,SimpleUpsampling,0.2344805
-1,VGG11,_DeepLiftShap,features.14,road_combined,ERFUpsamplingFast,0.14423294
-1,VGG11,_GradCAMPlusPlus,features.15,road_combined,SimpleUpsampling,0.13039982
-1,VGG11,_GradCAMPlusPlus,features.15,road_combined,ERFUpsamplingFast,0.11568163
-1,VGG11,_DeepLiftShap,features.15,road_combined,SimpleUpsampling,0.26102737
-1,VGG11,_DeepLiftShap,features.15,road_combined,ERFUpsamplingFast,0.19966255
-1,VGG11,_GradCAMPlusPlus,features.16,road_combined,SimpleUpsampling,0.076116614
-1,VGG11,_GradCAMPlusPlus,features.16,road_combined,ERFUpsamplingFast,0.087424584
-1,VGG11,_DeepLiftShap,features.16,road_combined,SimpleUpsampling,0.2285626
-1,VGG11,_DeepLiftShap,features.16,road_combined,ERFUpsamplingFast,0.16781285
-1,VGG11,_GradCAMPlusPlus,features.17,road_combined,SimpleUpsampling,0.13771996
-1,VGG11,_GradCAMPlusPlus,features.17,road_combined,ERFUpsamplingFast,0.12624252
-1,VGG11,_DeepLiftShap,features.17,road_combined,SimpleUpsampling,0.22871733
-1,VGG11,_DeepLiftShap,features.17,road_combined,ERFUpsamplingFast,0.17228214
-1,VGG11,_GradCAMPlusPlus,features.18,road_combined,SimpleUpsampling,0.046295512
-1,VGG11,_GradCAMPlusPlus,features.18,road_combined,ERFUpsamplingFast,0.05276883
-1,VGG11,_DeepLiftShap,features.18,road_combined,SimpleUpsampling,0.19872247
-1,VGG11,_DeepLiftShap,features.18,road_combined,ERFUpsamplingFast,0.12197202
-1,VGG11,_GradCAMPlusPlus,features.19,road_combined,SimpleUpsampling,0.15750867
-1,VGG11,_GradCAMPlusPlus,features.19,road_combined,ERFUpsamplingFast,0.108865246
-1,VGG11,_DeepLiftShap,features.19,road_combined,SimpleUpsampling,0.19805819
-1,VGG11,_DeepLiftShap,features.19,road_combined,ERFUpsamplingFast,0.10815115
-1,VGG11,_GradCAMPlusPlus,features.20,road_combined,SimpleUpsampling,0.16622849
-1,VGG11,_GradCAMPlusPlus,features.20,road_combined,ERFUpsamplingFast,0.113125674
-1,VGG11,_DeepLiftShap,features.20,road_combined,SimpleUpsampling,0.22929567
-1,VGG11,_DeepLiftShap,features.20,road_combined,ERFUpsamplingFast,0.14190903
